case_id,system,source_type,modification_type,pack_size_category,selected_mod_count,expected_repairable,initial_status,solver_status,issue_types,action_types,final_compatible,repair_success,total_cost,preservation_rate,removed_mod_count,runtime_seconds,runtime_minimum_seconds,runtime_maximum_seconds,runtime_samples_seconds,states_expanded,explanation_complete,passed,failure_category
real-fo-wrong-minecraft,weighted_default,modified_real,change_minecraft_version,small,4,False,incompatible,no_solution,minecraft_version_mismatch,,False,False,,1.0,0,0.00034869999944930896,0.00034469999809516594,0.0003591999993659556,0.00034469999809516594;0.0003591999993659556;0.00034869999944930896,1,True,True,
real-fo-wrong-minecraft,weighted_preservation,modified_real,change_minecraft_version,small,4,False,incompatible,no_solution,minecraft_version_mismatch,,False,False,,1.0,0,0.0005002999969292432,0.000338400001055561,0.0005626000056508929,0.000338400001055561;0.0005002999969292432;0.0005626000056508929,1,True,True,
real-additive-valid,baseline,original_real,none,small,3,False,compatible,already_compatible,,,True,False,0,1.0,0,0.00016600000526523218,0.00015279999934136868,0.0002015999998548068,0.0002015999998548068;0.00016600000526523218;0.00015279999934136868,0,False,True,
real-additive-valid,weighted_default,original_real,none,small,3,False,compatible,already_compatible,,,True,False,0,1.0,0,0.00022280000121099874,0.0002227000004495494,0.0002257999949506484,0.00022280000121099874;0.0002257999949506484;0.0002227000004495494,0,True,True,
real-additive-valid,weighted_preservation,original_real,none,small,3,False,compatible,already_compatible,,,True,False,0,1.0,0,0.00037709999742219225,0.0002607000060379505,0.0005868000007467344,0.00037709999742219225;0.0002607000060379505;0.0005868000007467344,0,True,True,
real-additive-missing-dependency,baseline,modified_real,remove_required_dependency,small,2,True,incompatible,solution_found,missing_dependency,add_dependency,True,True,1,1.0,0,0.00018090000230586156,0.0001753999968059361,0.0002496999950380996,0.0001753999968059361;0.00018090000230586156;0.0002496999950380996,0,False,True,
real-additive-missing-dependency,weighted_default,modified_real,remove_required_dependency,small,2,True,incompatible,solution_found,missing_dependency,add_dependency,True,True,1,1.0,0,0.0004226000019116327,0.0004139000011491589,0.0005881999968551099,0.0004139000011491589;0.0005881999968551099;0.0004226000019116327,2,True,True,
real-additive-missing-dependency,weighted_preservation,modified_real,remove_required_dependency,small,2,True,incompatible,solution_found,missing_dependency,add_dependency,True,True,1,1.0,0,0.0003837999975075945,0.0003823000006377697,0.0003854000024148263,0.0003823000006377697;0.0003854000024148263;0.0003837999975075945,2,True,True,
real-additive-loader-mismatch,baseline,modified_real,change_loader,small,3,False,incompatible,no_solution,loader_mismatch,,False,False,0,1.0,0,0.0002336999968974851,0.0002204000047640875,0.0015590000039082952,0.0002336999968974851;0.0002204000047640875;0.0015590000039082952,0,False,True,
real-additive-loader-mismatch,weighted_default,modified_real,change_loader,small,3,False,incompatible,no_solution,loader_mismatch,,False,False,,1.0,0,0.0004966999986208975,0.0004811999970115721,0.0005055000001448207,0.0004811999970115721;0.0004966999986208975;0.0005055000001448207,1,True,True,
real-additive-loader-mismatch,weighted_preservation,modified_real,change_loader,small,3,False,incompatible,no_solution,loader_mismatch,,False,False,,1.0,0,0.00028300000121816993,0.0002817999993567355,0.0002868000010494143,0.0002817999993567355;0.0002868000010494143;0.00028300000121816993,1,True,True,
synthetic-search-limit,baseline,synthetic,none,small,2,True,incompatible,solution_found,missing_dependency;minecraft_version_mismatch,add_dependency;upgrade_mod,True,True,5,1.0,0,0.00036359999648993835,0.0003023999961442314,0.0003651000006357208,0.0003023999961442314;0.00036359999648993835;0.0003651000006357208,0,False,True,
synthetic-search-limit,weighted_default,synthetic,none,small,2,True,incompatible,solution_found,missing_dependency;minecraft_version_mismatch,add_dependency;upgrade_mod,True,True,5,1.0,0,0.0008832000021357089,0.0008233999978983775,0.0012282999960007146,0.0008233999978983775;0.0008832000021357089;0.0012282999960007146,4,True,True,
synthetic-search-limit,weighted_preservation,synthetic,none,small,2,True,incompatible,solution_found,missing_dependency;minecraft_version_mismatch,add_dependency;upgrade_mod,True,True,6,1.0,0,0.0007852999988244846,0.0007783999972161837,0.0010700000057113357,0.0007852999988244846;0.0007783999972161837;0.0010700000057113357,4,True,True,
custom-small-valid,baseline,custom_modpack,none,small,10,False,compatible,already_compatible,,,True,False,0,1.0,0,0.00037180000072112307,0.0003634000022429973,0.0005296999952406622,0.0005296999952406622;0.00037180000072112307;0.0003634000022429973,0,False,True,
custom-small-valid,weighted_default,custom_modpack,none,small,10,False,compatible,already_compatible,,,True,False,0,1.0,0,0.0006326000002445653,0.0005973000006633811,0.0006527000005007721,0.0006527000005007721;0.0006326000002445653;0.0005973000006633811,0,True,True,
custom-small-valid,weighted_preservation,custom_modpack,none,small,10,False,compatible,already_compatible,,,True,False,0,1.0,0,0.0006572000056621619,0.0006238000059965998,0.0007363000040641055,0.0006572000056621619;0.0007363000040641055;0.0006238000059965998,0,True,True,
custom-small-missing-dependency,baseline,custom_modpack,remove_required_dependency,small,10,True,incompatible,solution_found,missing_dependency,add_dependency,True,True,1,1.0,0,0.0004737999988719821,0.00045390000013867393,0.001290699998207856,0.001290699998207856;0.0004737999988719821;0.00045390000013867393,0,False,True,
custom-small-missing-dependency,weighted_default,custom_modpack,remove_required_dependency,small,10,True,incompatible,solution_found,missing_dependency,add_dependency,True,True,1,1.0,0,0.001284700003452599,0.0011534000004758127,0.0013177000000723638,0.0011534000004758127;0.0013177000000723638;0.001284700003452599,2,True,True,
custom-small-missing-dependency,weighted_preservation,custom_modpack,remove_required_dependency,small,10,True,incompatible,solution_found,missing_dependency,add_dependency,True,True,1,1.0,0,0.0011309000037726946,0.001116599996748846,0.001414199999999255,0.0011309000037726946;0.001116599996748846;0.001414199999999255,2,True,True,
custom-small-minecraft-mismatch,baseline,custom_modpack,replace_with_incompatible_version,small,10,True,incompatible,solution_found,minecraft_version_mismatch,upgrade_mod,True,True,4,1.0,0,0.00044239999988349155,0.0004415000003064051,0.0006198999981279485,0.0004415000003064051;0.00044239999988349155;0.0006198999981279485,0,False,True,
custom-small-minecraft-mismatch,weighted_default,custom_modpack,replace_with_incompatible_version,small,10,True,incompatible,solution_found,minecraft_version_mismatch,upgrade_mod,True,True,4,1.0,0,0.0013278000042191707,0.00109859999793116,0.0019379000004846603,0.0019379000004846603;0.0013278000042191707;0.00109859999793116,2,True,True,
custom-small-minecraft-mismatch,weighted_preservation,custom_modpack,replace_with_incompatible_version,small,10,True,incompatible,solution_found,minecraft_version_mismatch,upgrade_mod,True,True,5,1.0,0,0.0012119000020902604,0.0011041999969165772,0.0012892000013380311,0.0012119000020902604;0.0012892000013380311;0.0011041999969165772,2,True,True,
custom-small-loader-mismatch,baseline,custom_modpack,replace_with_incompatible_version,small,10,True,incompatible,solution_found,loader_mismatch,upgrade_mod,True,True,4,1.0,0,0.00048460000107297674,0.0004450999986147508,0.0005691999976988882,0.0004450999986147508;0.00048460000107297674;0.0005691999976988882,0,False,True,
custom-small-loader-mismatch,weighted_default,custom_modpack,replace_with_incompatible_version,small,10,True,incompatible,solution_found,loader_mismatch,upgrade_mod,True,True,4,1.0,0,0.0012592999992193654,0.0010822000040207058,0.0013187999938963912,0.0012592999992193654;0.0010822000040207058;0.0013187999938963912,2,True,True,
custom-small-loader-mismatch,weighted_preservation,custom_modpack,replace_with_incompatible_version,small,10,True,incompatible,solution_found,loader_mismatch,upgrade_mod,True,True,5,1.0,0,0.0011937000017496757,0.0011124999946332537,0.0020857000054093078,0.0011937000017496757;0.0020857000054093078;0.0011124999946332537,2,True,True,
custom-small-hard-conflict,baseline,custom_modpack,add_conflicting_mod,small,10,True,incompatible,solution_found,hard_conflict,remove_mod,True,True,10,0.9,1,0.0004090000002179295,0.00039310000283876434,0.0004231999992043711,0.00039310000283876434;0.0004090000002179295;0.0004231999992043711,0,False,True,
custom-small-hard-conflict,weighted_default,custom_modpack,add_conflicting_mod,small,10,True,incompatible,solution_found,hard_conflict,remove_mod,True,True,10,0.9,1,0.0015752999970573,0.0014484999992419034,0.0028036000003339723,0.0014484999992419034;0.0015752999970573;0.0028036000003339723,3,True,True,
custom-small-hard-conflict,weighted_preservation,custom_modpack,add_conflicting_mod,small,10,True,incompatible,solution_found,hard_conflict,remove_mod,True,True,20,0.9,1,0.0020351999992271885,0.0017158000046038069,0.002602100001240615,0.0020351999992271885;0.002602100001240615;0.0017158000046038069,3,True,True,
custom-small-duplicate,baseline,custom_modpack,duplicate_mod_version,small,10,True,incompatible,no_solution,duplicate_mod_version,,False,False,0,1.0,0,0.0003648999991128221,0.0003541999976732768,0.000534200000402052,0.0003648999991128221;0.0003541999976732768;0.000534200000402052,0,False,False,repair_not_found
custom-small-duplicate,weighted_default,custom_modpack,duplicate_mod_version,small,10,True,incompatible,solution_found,duplicate_mod_version,remove_mod,True,True,10,1.0,0,0.001058599998941645,0.0010183999984292313,0.0016493000002810732,0.001058599998941645;0.0010183999984292313;0.0016493000002810732,2,True,True,
custom-small-duplicate,weighted_preservation,custom_modpack,duplicate_mod_version,small,10,True,incompatible,solution_found,duplicate_mod_version,remove_mod,True,True,20,1.0,0,0.0012339000022620894,0.001000600001134444,0.0013147999998182058,0.0012339000022620894;0.0013147999998182058;0.001000600001134444,2,True,True,
custom-small-optional,baseline,custom_modpack,manual,small,10,False,compatible_with_warnings,already_compatible,optional_dependency_warning,add_dependency,True,False,1,1.0,0,0.00045110000064596534,0.0004402999984449707,0.00046519999887095764,0.0004402999984449707;0.00046519999887095764;0.00045110000064596534,0,False,True,
custom-small-optional,weighted_default,custom_modpack,manual,small,10,False,compatible_with_warnings,already_compatible,optional_dependency_warning,,True,False,0,1.0,0,0.0008178999996744096,0.0006693000032100827,0.0008887000003596768,0.0008887000003596768;0.0008178999996744096;0.0006693000032100827,0,True,True,
custom-small-optional,weighted_preservation,custom_modpack,manual,small,10,False,compatible_with_warnings,already_compatible,optional_dependency_warning,,True,False,0,1.0,0,0.0006706999993184581,0.0006403000006685033,0.000897699996130541,0.0006403000006685033;0.000897699996130541;0.0006706999993184581,0,True,True,
